date, pm25, o3, no2, so2, co
2020/7/2, 28, 27, 2, 1, 
2020/7/3, 45, 23, 3, 1, 
2020/7/4, 31, 26, 7, 8, 
2020/7/5, 38, 25, 4, 1, 
2020/7/6, 54, 25, 2, , 
2020/7/7, 27, 17, 3, , 
2020/7/8, 21, 23, 6, , 
2020/7/9, 27, , , , 
2020/6/2, 24, 21, 6, 1, 1
2020/6/3, 32, 28, 5, 1, 1
2020/6/4, 27, 30, 2, 1, 1
2020/6/5, 23, 24, 5, 1, 1
2020/6/6, 28, 26, 2, 1, 1
2020/6/7, 24, 22, 1, 1, 1
2020/6/8, 19, 23, 1, 1, 1
2020/6/9, 29, 13, 2, 1, 1
2020/6/10, 21, 16, 4, 1, 1
2020/6/11, 23, 28, 7, 1, 1
2020/6/12, 23, 17, 10, 1, 
2020/6/13, 23, 22, 5, 1, 
2020/6/14, 21, 23, 1, 1, 
2020/6/15, 20, 23, 2, 1, 
2020/6/16, 25, 27, 5, 1, 
2020/6/17, 23, 24, 5, 1, 
2020/6/18, 29, 22, 4, 1, 
2020/6/19, 28, 19, 10, 1, 
2020/6/20, 32, 15, 4, 1, 
2020/6/21, 25, 22, 3, 1, 
2020/6/22, 22, 29, 5, 1, 
2020/6/23, 21, 21, 6, 1, 
2020/6/24, 25, 18, 6, 1, 
2020/6/25, 28, 20, 7, 1, 
2020/6/26, 28, 26, 7, 1, 
2020/6/27, 30, 17, 1, 1, 
2020/6/28, 20, 21, 4, 1, 
2020/6/29, 21, 16, 2, 1, 
2020/6/30, 39, 22, 1, 1, 
2020/7/1, 26, 17, 2, 1, 
2020/5/2, 30, 32, 5, 1, 1
2020/5/3, 32, 32, 2, 1, 1
2020/5/4, 21, 30, 6, 1, 1
2020/5/5, 31, 34, 6, 1, 1
2020/5/6, 28, 33, 2, 1, 1
2020/5/7, 23, 30, 3, 1, 1
2020/5/8, 33, 34, 4, 1, 1
2020/5/9, 30, 35, 2, 1, 1
2020/5/10, 31, 36, 7, 1, 1
2020/5/11, 36, 31, 7, 1, 1
2020/5/12, 40, 26, 7, 1, 1
2020/5/13, 33, 31, 2, 1, 1
2020/5/14, 25, 31, 5, 1, 1
2020/5/15, 21, 34, 2, 1, 1
2020/5/16, 24, 16, 6, 1, 2
2020/5/17, 34, 32, 2, 1, 1
2020/5/18, 24, 28, 4, 1, 1
2020/5/19, 33, 23, 1, 1, 1
2020/5/20, 25, 29, 3, 1, 1
2020/5/21, 27, 26, 3, 1, 1
2020/5/22, 23, 23, 3, 1, 1
2020/5/23, 27, 27, 3, 1, 1
2020/5/24, 27, 23, 8, 1, 1
