January 2020 Contiguous U.S. County Average Temperature,,,,,
Units: Degrees Fahrenheit,,,,,
Missing: -99,,,,,
Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
AL-001,Autauga County,50.5,107,4.2,46.3
AL-003,Baldwin County,55.1,104,4.1,51
AL-005,Barbour County,51.8,101,4,47.8
AL-007,Bibb County,48.6,107,4.3,44.3
AL-009,Blount County,47,112,5.4,41.6
AL-011,Bullock County,50.9,104,4.1,46.8
AL-013,Butler County,51.6,105,4.1,47.5
AL-015,Calhoun County,48.1,114,5.8,42.3
AL-017,Chambers County,47.9,107,4.2,43.7
AL-019,Cherokee County,47,112,5.6,41.4
AL-021,Chilton County,49,106,4.3,44.7
AL-023,Choctaw County,51,98,3.9,47.1
AL-025,Clarke County,51.9,102,4,47.9
AL-027,Clay County,47.3,107,4.5,42.8
AL-029,Cleburne County,47.6,114,6.1,41.5
AL-031,Coffee County,53.5,107,4.8,48.7
AL-033,Colbert County,46,114,6.1,39.9
AL-035,Conecuh County,52.6,104,3.9,48.7
AL-037,Coosa County,48.5,103,4,44.5
AL-039,Covington County,53,104,4.1,48.9
AL-041,Crenshaw County,51.5,106,4.1,47.4
AL-043,Cullman County,46.3,110,5.2,41.1
AL-045,Dale County,53.8,106,4.7,49.1
AL-047,Dallas County,50.5,100,3.7,46.8
AL-049,DeKalb County,45,108,5,40
AL-051,Elmore County,50,106,3.9,46.1
AL-053,Escambia County,53.4,101,3.7,49.7
AL-055,Etowah County,47.3,111,5.4,41.9
AL-057,Fayette County,48,110,5.2,42.8
AL-059,Franklin County,45.8,113,5.6,40.2
AL-061,Geneva County,54.9,112,5.2,49.7
AL-063,Greene County,49.4,107,4.2,45.2
AL-065,Hale County,49,99,3.7,45.3
AL-067,Henry County,53.4,103,4.3,49.1
AL-069,Houston County,55.4,110,5.2,50.2
AL-071,Jackson County,44.7,106,4.8,39.9
AL-073,Jefferson County,48.4,111,5.3,43.1
AL-075,Lamar County,47.9,108,5.1,42.8
AL-077,Lauderdale County,45.7,116,6.3,39.4
AL-079,Lawrence County,45.4,108,5,40.4
AL-081,Lee County,49.3,103,3.7,45.6
AL-083,Limestone County,45.5,113,5.6,39.9
AL-085,Lowndes County,51.4,105,4.2,47.2
AL-087,Macon County,50.2,102,3.7,46.5
AL-089,Madison County,45.3,110,5.1,40.2
AL-091,Marengo County,50.3,100,3.7,46.6
AL-093,Marion County,46.5,109,5.2,41.3
AL-095,Marshall County,45.9,108,4.9,41
AL-097,Mobile County,54.7,105,4.2,50.5
AL-099,Monroe County,52.8,105,4.4,48.4
AL-101,Montgomery County,51.3,106,4.2,47.1
AL-103,Morgan County,45.8,109,5.2,40.6
AL-105,Perry County,49,93,3.4,45.6
AL-107,Pickens County,49,108,4.9,44.1
AL-109,Pike County,51.6,101,3.9,47.7
AL-111,Randolph County,47.5,112,5.2,42.3
AL-113,Russell County,51,107,4,47
AL-115,St. Clair County,47.7,112,5.2,42.5
AL-117,Shelby County,48.4,108,4.7,43.7
AL-119,Sumter County,50.1,108,4.3,45.8
AL-121,Talladega County,48,107,4.4,43.6
AL-123,Tallapoosa County,48.1,102,3.7,44.4
AL-125,Tuscaloosa County,49.1,111,4.9,44.2
AL-127,Walker County,47.6,110,5,42.6
AL-129,Washington County,52.3,98,3.7,48.6
AL-131,Wilcox County,51.3,100,3.8,47.5
AL-133,Winston County,45.8,110,4.9,40.9
AZ-001,Apache County,32.7,91,3,29.7
AZ-003,Cochise County,45.7,95,2.2,43.5
AZ-005,Coconino County,35.6,107,3.7,31.9
AZ-007,Gila County,44.9,111,4,40.9
AZ-009,Graham County,45.3,101,2.7,42.6
AZ-011,Greenlee County,41.6,105,3.2,38.4
AZ-012,La Paz County,53.8,99,2.6,51.2
AZ-013,Maricopa County,53.4,97,2.6,50.8
AZ-015,Mohave County,45.7,104,3.4,42.3
AZ-017,Navajo County,34,100,3.6,30.4
AZ-019,Pima County,52.2,101,2.6,49.6
AZ-021,Pinal County,51.6,94,2.1,49.5
AZ-023,Santa Cruz County,46.7,98,2.4,44.3
AZ-025,Yavapai County,44.3,106,3.4,40.9
AZ-027,Yuma County,55.5,100,2.7,52.8
AR-001,Arkansas County,46.2,109,5,41.2
AR-003,Ashley County,48.7,110,5.1,43.6
AR-005,Baxter County,39.7,108,4.8,34.9
AR-007,Benton County,40.2,111,5.2,35
AR-009,Boone County,39.3,107,4.6,34.7
AR-011,Bradley County,48,112,5.2,42.8
AR-013,Calhoun County,47.2,109,4.4,42.8
AR-015,Carroll County,39.6,109,4.7,34.9
AR-017,Chicot County,48.1,106,4.3,43.8
AR-019,Clark County,45.1,102,3.5,41.6
AR-021,Clay County,41.8,114,5.9,35.9
AR-023,Cleburne County,42,107,4.5,37.5
AR-025,Cleveland County,46.4,106,4.4,42
AR-027,Columbia County,47.3,101,3.5,43.8
AR-029,Conway County,42.3,103,3.7,38.6
AR-031,Craighead County,42.6,112,5.6,37
AR-033,Crawford County,42,108,4.5,37.5
AR-035,Crittenden County,45.4,116,6,39.4
AR-037,Cross County,44.3,111,5.5,38.8
AR-039,Dallas County,45.6,103,3.6,42
AR-041,Desha County,47.1,108,4.8,42.3
AR-043,Drew County,47.9,112,5.2,42.7
AR-045,Faulkner County,42.6,99,3.4,39.2
AR-047,Franklin County,41.8,109,4.3,37.5
